date,S,I,R,susceptible,infected,recovered,cases,forecast
2020-03-31,104013.29162261012,76703.59273496369,23561.211505245617,98486.0958628195,77635.0,28157.0,105792.0,100264.80424020931
2020-04-01,98506.76973404676,80194.48970256459,25576.836426208087,93704.0958628195,80572.0,30002.0,110574.0,105771.32612877268
2020-04-02,93071.23062368573,83526.70131977212,27680.16391936158,89036.0958628195,83049.0,32193.0,115242.0,111206.86523913371
2020-04-03,87738.23990050796,86673.09397667105,29866.761985640398,84451.0958628195,85388.0,34439.0,119827.0,116539.85596231144
2020-04-04,82536.50160873118,89610.04870855855,32131.54554552965,79646.0958628195,88274.0,36358.0,124632.0,121741.5942540882
2020-04-05,77491.30829931058,92317.91451641434,34468.87304709448,75330.0958628195,91246.0,37702.0,128948.0,126786.78756350881
2020-04-06,72624.16123004099,94781.28252087986,36872.65211189854,71731.0958628195,93187.0,39360.0,132547.0,131653.9346327784
2020-04-07,67952.56494313388,96989.08068758421,39336.450232101284,68692.0958628195,94067.0,41519.0,135586.0,136325.5309196855
2020-04-08,63489.9875912734,98934.50270904851,41853.60556249749,64856.09586281949,95262.0,44160.0,139422.0,140788.108271546
2020-04-09,59245.96825739763,100614.7935633219,44417.33404209986,60652.09586281949,96877.0,46749.0,143626.0,145032.12760542176
2020-04-10,55226.34491305395,102030.92148826165,47020.829461503796,56701.09586281949,98273.0,49304.0,147577.0,149051.75094976544
2020-04-11,51433.57443865086,103187.16746259479,49657.35396157374,52007.09586281949,100269.0,52002.0,152271.0,152844.52142416855
2020-04-12,47867.11527498127,104090.66326312035,52320.31732471778,47915.09586281949,102253.0,54110.0,156363.0,156410.98058783813
2020-04-13,44523.84545670988,104750.90640824151,55003.34399786801,44762.09586281949,103616.0,55900.0,159516.0,159754.25040610952
2020-04-14,41398.49099074225,105179.27719251807,57700.32767955909,41790.09586281949,104291.0,58197.0,162488.0,162879.60487207715
2020-04-15,38484.0425733959,105388.58005186748,60405.47323755603,39123.09586281949,105418.0,59737.0,165155.0,165794.05328942352
2020-04-16,35772.15543359775,105392.61158988197,63113.32883933969,35337.09586281949,106607.0,62334.0,168941.0,168505.94042922166
2020-04-17,33253.5039199906,105205.78676820312,65818.80517462568,31844.095862819493,106962.0,65472.0,172434.0,171024.5919428288
2020-04-18,30918.10402550673,104842.80406512768,68517.18777218497,28353.095862819493,107771.0,68154.0,175925.0,173359.99183731264
2020-04-19,28755.588047333757,104318.36741525636,71204.14040022928,25306.095862819493,108257.0,70715.0,178972.0,175522.50781548565
2020-04-20,26755.435915799306,103646.95790208643,73875.70204493366,23050.095862819493,108237.0,72991.0,181228.0,177522.6599470201
2020-04-21,24907.165542941715,102842.6514356308,76528.27888424686,20321.095862819493,107709.0,76248.0,183957.0,179370.93031987766
2020-04-22,23200.483807552628,101918.98007571885,79158.63197954789,16951.095862819493,107699.0,79628.0,187327.0,181077.61205526674
2020-04-23,21625.403248845225,100888.8307239047,81763.86189006944,,,,,182652.69261397416
